Title = Billboard Music Awards, popularity = 10.0
Title = Christmas In Rockefeller Center, popularity = 10.0
Title = RAILWAY RELAY, popularity = 10.0
Title = The Singing Bee, popularity = 9.0
Title = Movin' with Nancy, popularity = 6.3
Title = The Midnight Special, popularity = 6.0
Title = Graffiti Rock, popularity = 5.2
Title = Agora É que São Elas, popularity = 4.0
Title = B4, popularity = 0.0
Title = The Tube, popularity = 0.0
Title = Say What?, popularity = 0.0
Title = What's This Song?, popularity = 0.0
Title = Welcome Aboard, popularity = 0.0
Title = 120 Minutes, popularity = 0.0
Title = Satins and Spurs, popularity = 0.0
Title = MTV Live, popularity = 0.0
Title = Let's Rhumba, popularity = 0.0
Title = Name That Tune, popularity = 0.0
Title = BBC Proms, popularity = 0.0
Title = The Grind, popularity = 0.0
Title = The Timex All-star Swing Festival, popularity = 0.0
Title = Transmission, popularity = 0.0
Title = Mulligan Stew, popularity = 0.0
Title = Music for UNICEF Concert, popularity = 0.0
Title = The Eddy Arnold Show, popularity = 0.0
Title = Adventures in Jazz, popularity = 0.0
Title = FNMTV, popularity = 0.0
Title = The Swift Show, popularity = 0.0
Title = The Chart Show, popularity = 0.0
Title = TRL UK, popularity = 0.0
Title = Big World Cafe, popularity = 0.0
Title = Popworld, popularity = 0.0
Title = The Frank Sinatra Show, popularity = 0.0
Title = Video Mods, popularity = 0.0
Title = The Chesterfield Supper Club, popularity = 0.0
Title = Amp, popularity = 0.0
Title = Disco, popularity = 0.0
Title = 120 Minutes, popularity = 0.0
Title = Los 10+ Pedidos, popularity = 0.0
Title = Name That Tune, popularity = 0.0
Title = MTV Asia Hitlist, popularity = 0.0
Title = Sunday Night, popularity = 0.0
Title = Stage Show, popularity = 0.0
