Whichever Way the Ball Bounces,10.0
Slumbering Concrete,10.0
Duga mračna noć,10.0
Survivor Croatia,10.0
Okomite Paralele,10.0
Evening School,10.0
Operation Barbarossa,10.0
The Law!,10.0
Big Brother,10.0
On the Border,9.0
Celebrity Big Brother (Croatia),9.0
Black-and-White World,8.3
Tri, dva, jedan - kuhaj!,8.0
Hrvatski Idol,8.0
Guardian of the Castle,8.0
Smoggies,8.0
The Instructor,8.0
The Best Years,8.0
The Paper,7.6
Success,7.235
The Last Socialist Artefact,7.0
Croatian Kings,6.0
Lucky Us,5.5
Godparents,5.5
Punks and Princesses,5.0
The General,3.0
The Republic,3.0
Nad lipom 35,1.0
Zločini komunizma u Hrvatskoj,0.0
Pustovol,0.0
Speedy Gonzales,0.0
Director of the Universe,0.0
Osjećaji,0.0
Tito – the Last Witnesses of the Testament,0.0
Luka and Friends,0.0
Ruža vjetrova,0.0
Absurdistan,0.0
Lara's Choice,0.0
Ours and Yours,0.0
A strana,0.0
The Diary of the Great Perica,0.0
Godina Oluje,0.0
Balkanika,0.0
Ludi Bar,0.0
VATICAN SECRET FILES EXPOSED: THE POPE AND THE DEVIL,0.0
Lovac sakupljač,0.0
State of the Nation,0.0
Dvornikovi,0.0
Dora,0.0
Metropolitans,0.0
