Tamizh Kadavul Murugan,10.0
Rak Rai,10.0
Chinna Thambi,10.0
Marmadesam: Vidaathu Karuppu,10.0
Kuthukku Pathu,9.0
Akash Vaani,9.0
Ramany Vs Ramany 3.0,9.0
Cooku with Comali,8.7
Vilangu,8.667
Sweet Kaaram Coffee,8.0
Iru Dhuruvam,8.0
Victim,8.0
Anantham,8.0
Thendral Vanthu Ennai Thodum,8.0
Auto Shankar,8.0
November Story,7.5
Live Telecast,7.5
Paava Kadhaigal,7.469
Fingertip,7.3
Ayali,7.25
Triples,7.2
TamilRockerz,7.1
Nila Nila Odi Vaa,7.0
Pettaikaali,7.0
Mathagam,7.0
Emoji,7.0
Story of Things,7.0
Accidental Farmer & Co.,7.0
Oru Kodai Murder Mystery,7.0
Kallachirippu,7.0
Modern Love Chennai,6.8
Queen,6.7
Vella Raja,6.5
Vadhandhi,6.5
Inspector Rishi,6.3
Suzhal - The Vortex,6.211
As I'm Suffering From Kadhal,6.0
Time Enna Boss!?,5.7
Navarasa,5.636
Irai,5.3
Paper Rocket,5.0
Meme Boys,5.0
Putham Pudhu Kaalai Vidiyaadhaa,5.0
Mugilan,5.0
MY3,5.0
Sengalam,4.5
Engga Hostel,4.5
Bigg Boss,3.8
Fall,3.5
Karoline Kamakshi,3.0
